"dian_yuan_shu","vip_shu","zong_jian_shu","ling_shou_jia_zong_e","zhe_kou_zong_e","vip_shi_ji_xiao_shou_e","ping_jun_wen_du","ke_liu_liang","shi_ji_xiao_shou_zong_e"
"10","18","149","144663.000","65640.000","22538.000","17","0","79023.000"
"10","17","133","129876.000","61450.000","14775.000","19","0","68426.000"
"10","13","90","80260.000","36656.000","12723.000","21","0","43604.000"
"8","6","44","44255.000","19261.000","7659.000","21","0","24994.000"
"8","5","38","35496.000","16300.000","4091.000","19","0","19196.000"
"8","5","41","34800.000","13070.000","3537.000","17","0","21730.000"
"6","6","38","37135.000","13888.000","8840.000","17","0","23247.000"
"8","9","41","36107.000","9610.000","15909.000","17","0","26497.000"
"8","13","77","60180.000","19785.000","20776.000","17","0","40395.000"
"8","6","49","49541.000","20916.000","4227.000","16","0","28625.000"
"6","8","38","42588.000","19005.000","6921.000","14","0","23583.000"
"7","14","66","54950.000","15345.000","18069.000","14","0","39605.000"
"7","5","35","27675.000","7031.000","4417.000","14","0","20644.000"
"9","14","59","53178.000","19319.000","15530.000","15","0","33859.000"
"8","11","49","43967.000","13960.000","13113.000","13","0","30007.000"
"9","11","76","80330.000","27351.000","14064.000","13","0","52979.000"
"10","12","86","85520.000","28353.000","12392.000","13","0","57167.000"
"9","8","60","49856.000","15230.000","11761.000","15","0","34626.000"
"8","9","33","34542.000","7114.000","9962.000","14","0","27428.000"
"8","11","48","43468.000","11198.000","14547.000","13","0","32270.000"
"9","12","27","25312.000","5243.000","10277.000","11","0","20069.000"
"7","11","53","61498.000","14332.000","18330.000","8","0","47166.000"
"8","10","74","83516.000","21257.000","14334.000","4","0","62259.000"
"9","14","70","91449.000","19382.000","23242.000","6","0","72067.000"
"8","13","49","63815.000","15894.000","21673.000","6","0","47921.000"
"7","9","42","39062.000","9325.000","11247.000","9","0","29737.000"
"7","9","33","44235.000","14672.000","15513.000","9","0","29563.000"
"6","6","35","39846.000","5364.000","19600.000","13","0","34482.000"
"7","20","49","48152.000","6664.000","29153.000","15","0","41488.000"
"8","21","84","76383.000","13517.000","25342.000","15","0","62866.000"
"7","15","58","62626.000","12284.000","18791.000","12","0","50342.000"
"8","11","34","28344.000","1608.000","14451.000","9","0","26736.000"
"6","19","53","50387.000","3884.000","29285.000","8","0","46503.000"
"6","12","44","41102.000","3167.000","14198.000","10","0","37935.000"
"8","20","71","53651.000","3640.000","31553.000","11","0","50011.000"
"6","10","53","45941.000","1988.000","11696.000","11","0","43953.000"
"7","12","73","64750.000","3203.000","20461.000","11","0","61547.000"
"6","8","27","20596.000","676.000","6074.000","11","0","19920.000"
"3","2","18","12184.000","689.000","1611.000","12","0","11495.000"
"4","3","19","16555.000","357.000","3210.000","17","0","16198.000"
"4","5","21","15593.000","329.000","2955.000","18","0","15264.000"
"4","5","14","9578.000","262.000","2353.000","20","0","9316.000"
"6","5","19","12902.000","538.000","4834.000","22","0","12364.000"
"5","10","23","19269.000","1462.000","12333.000","20","0","17807.000"
"6","11","26","22992.000","1568.000","13003.000","14","0","21424.000"
"6","10","28","21888.000","1367.000","13158.000","10","0","20521.000"
"5","7","25","19027.000","1810.000","12225.000","11","0","17217.000"
"4","6","17","11345.000","552.000","4456.000","12","0","10793.000"
"6","9","22","17544.000","1890.000","8681.000","15","0","15654.000"
"7","7","27","18186.000","1081.000","8396.000","13","0","17105.000"
"6","9","28","19866.000","1257.000","10403.000","14","0","18609.000"
"7","8","26","18898.000","1980.000","7492.000","16","0","16918.000"
"4","9","25","17489.000","1196.000","10165.000","14","0","16293.000"
"6","8","22","18104.000","1737.000","7238.000","12","0","16367.000"
"6","9","39","32482.000","3321.000","13318.000","11","0","29161.000"
"5","13","21","15362.000","1056.000","9626.000","12","0","14306.000"
"6","11","34","21139.000","1561.000","11233.000","12","0","19578.000"
"8","12","39","29116.000","2390.000","12276.000","14","0","26726.000"
"8","11","31","23443.000","1689.000","9959.000","16","0","21754.000"
"6","9","27","15044.000","1174.000","4686.000","16","0","13870.000"
"6","6","18","11944.000","825.000","4627.000","18","0","11119.000"
"5","5","21","13720.000","715.000","5427.000","18","0","13005.000"
"8","11","45","31179.000","2736.000","15323.000","19","0","28443.000"
"8","15","69","41143.000","1625.000","11421.000","20","0","39518.000"
"7","13","67","37475.000","1309.000","13898.000","21","0","36166.000"
"7","12","76","44536.000","2036.000","7636.000","22","0","42500.000"
"8","13","62","38962.000","1716.000","14929.000","23","0","37246.000"
"7","20","95","61313.000","3010.000","18178.000","22","0","58303.000"
"6","8","31","20192.000","1364.000","11627.000","17","0","18828.000"
"6","11","28","19748.000","1502.000","8972.000","9","0","18246.000"
"8","11","28","20136.000","1408.000","12655.000","10","0","18728.000"
"7","11","47","38713.000","5132.000","18682.000","12","0","33581.000"
"9","10","58","38728.000","3304.000","12037.000","13","0","35424.000"
"7","13","35","24611.000","2930.000","16475.000","15","0","21681.000"
"5","11","43","30183.000","3739.000","21548.000","15","0","26444.000"
"9","15","36","24447.000","1872.000","12695.000","15","0","22575.000"
"7","8","15","8997.000","611.000","5492.000","17","0","8386.000"
"7","9","34","22369.000","1007.000","8652.000","20","0","21362.000"
"9","14","53","34291.000","3594.000","11918.000","22","0","30697.000"
"9","15","54","33200.000","2204.000","18916.000","22","0","30996.000"
"5","5","18","12004.000","971.000","8458.000","19","0","11033.000"
